Cervical spine Angle,Resistance value
91,501
89.3,485
85.6,470
83.3,480
81.8,471
81.5,466
80.2,470
78.4,459
78.2,462
78,455
76.5,459
75.1,458
75,455
74.1,456
74.1,459
72.4,449
71.3,450
69.6,450
69,449
68.7,450
68,444
64.9,439
64.5,437
63.4,433
63.2,433
61.5,429
61,438
60,430
59.8,421
58,419
56,411
55.5,425
55.2,420
54.1,415
53,408
51,408
50.2,404
48,407
46.9,396
46.6,394
46.4,404
44.8,388
44,392
43.1,398
42.1,395
40,393
37.3,376
37.3,382
37,383
36.5,382
36,378
35.2,380
35,378
33.4,371
32.7,366
32,365
32,372
29.8,360
29.6,361
28,356
